day,x,,,,
191102,53.05233333,,50.97620916,,
191103,47.84015152,,,,
191104,55.00721501,,,,
191105,50.58106355,,,,
191106,49.60620567,,,,
191107,53.40405743,,,,
191108,47.34243759,,,,
191109,54.90566343,,49.98766492,,-0.019392267
191110,42.07490421,,,,
191111,52.03159879,,,,
191112,47.99251208,,,,
191113,50.09590747,,,,
191114,55.36848073,,,,
191115,56.31440568,,,,
191116,44.12807018,,,,
191117,38.90261905,,,,
191118,58.32668038,,,,
191119,46.00805243,,,,
191120,55.09206642,,,,
191121,46.48572377,,,,
191122,52.10062422,,,,
