sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon
005es16272_MN,2992.235,2972.158,,3074.19,-0.00671,,0.02739,,0.03433,,-20.077000000000226,,81.95499999999993,,102.03200000000015,,47.567435,-122.320378
005es16272_MS,4197.372,4256.764,,0,0.01415,,,,,,59.391999999999825,,,,,,47.567435,-122.320378
005es16302_MN,3109.369,3147.143,,3260.173,0.01215,,0.0485,,0.03592,,37.77399999999989,,150.80399999999963,,113.02999999999975,,47.571736,-122.319878
005es16319_MN,2925.173,2952.988,,3067.193,0.00951,,0.04855,,0.03867,,27.815000000000055,,142.02000000000044,,114.20500000000038,,47.574333,-122.319754
005es16377_MN,3958.351,3961.536,,4134.036,0.0008,,0.04438,,0.04354,,3.1849999999999454,,175.68499999999995,,172.5,,47.582716,-122.31961
005es16396_MS,4374.399,4588.018,,4792.518,0.04883,,0.09558,,0.04457,,213.6189999999997,,418.1189999999997,,204.5,,47.585309,-122.320011
005es16426_MN,2501.851,2693.827,,2676.202,0.07673,,0.06969,,-0.00654,,191.9760000000001,,174.3510000000001,,-17.625,,47.58986,-122.32072
005es16466_MN,3272.429,3570.55,,3493.512,0.0911,,0.06756,,-0.02158,,298.1210000000001,,221.08300000000008,,-77.03800000000001,,47.595287,-122.320288
005es16513_MN,3433.591,3771.361,,3692.298,0.09837,,0.07535,,-0.02096,,337.77,,258.7069999999999,,-79.0630000000001,,47.60131,-122.323984
005es16513_MS,2330.31,2485.494,,2456.018,0.06659,,0.05394,,-0.01186,,155.1840000000002,,125.70800000000008,,-29.476000000000113,,47.60131,-122.323984
005es16551_MS,2168.268,2324.208,,2291.958,0.07192,,0.05705,,-0.01388,,155.94000000000005,,123.69000000000005,,-32.25,,47.606038,-122.328769
005es16583_MN,3902.756,4141.29,,4046.004,0.06112,,0.0367,,-0.02301,,238.5340000000001,,143.24800000000005,,-95.28600000000006,,47.610236,-122.331017
005es16640_MS,3987.506,4073.127,,0,0.02147,,,,,,85.6210000000001,,,,,,47.618243,-122.328356
