sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon,direction
005es16272_MN,3980.4,3928.4,,4054.733,-0.01306,,0.01867,,0.03216,,-52.0,,74.33300000000008,,126.33300000000008,,47.567435,-122.320378,NBT
005es16272_MS,6267.711,6417.8,,0,0.02395,,,,,,150.08899999999994,,,,,,47.567435,-122.320378,SBT
005es16302_MN,4204.5,4170.667,,4318.6,-0.00805,,0.02714,,0.03547,,-33.83299999999963,,114.10000000000036,,147.933,,47.571736,-122.319878,NBT
005es16319_MN,3960.533,3909.067,,4059.733,-0.01299,,0.02505,,0.03854,,-51.465999999999894,,99.20000000000027,,150.66600000000017,,47.574333,-122.319754,NBT
005es16377_MN,5383.333,5360.4,,5495.0,-0.00426,,0.02074,,0.02511,,-22.932999999999993,,111.66700000000037,,134.60000000000036,,47.582716,-122.31961,NBT
005es16396_MS,6027.267,6339.333,,6540.333,0.05178,,0.08512,,0.03171,,312.0659999999998,,513.0659999999998,,201.0,,47.585309,-122.320011,SBT
005es16426_MN,3630.533,4007.133,,3842.733,0.10373,,0.05845,,-0.04103,,376.5999999999999,,212.20000000000027,,-164.39999999999964,,47.58986,-122.32072,NBT
005es16466_MN,4796.133,5300.933,,5093.6,0.10525,,0.06202,,-0.03911,,504.8000000000002,,297.46700000000055,,-207.33299999999963,,47.595287,-122.320288,NBT
005es16513_MN,5055.4,5526.067,,5367.2,0.0931,,0.06168,,-0.02875,,470.66700000000037,,311.8000000000002,,-158.8670000000002,,47.60131,-122.323984,NBT
005es16513_MS,3252.333,3433.8,,3560.267,0.0558,,0.09468,,0.03683,,181.4670000000001,,307.93399999999974,,126.46699999999964,,47.60131,-122.323984,SBT
005es16551_MS,3105.6,3213.8,,3357.8,0.03484,,0.08121,,0.04481,,108.20000000000027,,252.20000000000027,,144.0,,47.606038,-122.328769,SBT
005es16583_MN,5520.6,5947.156,,5525.8,0.07727,,0.00094,,-0.07085,,426.5559999999996,,5.199999999999818,,-421.35599999999977,,47.610236,-122.331017,NBT
005es16640_MS,4649.2,4810.067,,0,0.0346,,,,,,160.8670000000002,,,,,,47.618243,-122.328356,SBT
