sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon
005es16272_MN,3294.191,3122.629,,3533.4,-0.05208,,0.07262,,0.13155,,-171.5619999999999,,239.2090000000003,,410.7710000000002,,47.567435,-122.320378
005es16272_MS,4464.529,4561.419,,0,0.0217,,,,,,96.88999999999942,,,,,,47.567435,-122.320378
005es16302_MN,3476.443,3320.557,,3767.029,-0.04484,,0.08359,,0.13446,,-155.88600000000042,,290.5859999999998,,446.4720000000002,,47.571736,-122.319878
005es16319_MN,3279.143,3129.686,,3557.071,-0.04558,,0.08476,,0.13656,,-149.45699999999988,,277.9279999999999,,427.38499999999976,,47.574333,-122.319754
005es16377_MN,4362.657,4194.857,,4709.914,-0.03846,,0.0796,,0.12278,,-167.80000000000018,,347.2569999999996,,515.0569999999998,,47.582716,-122.31961
005es16396_MS,4879.086,5016.914,,5134.286,0.02825,,0.0523,,0.0234,,137.82799999999952,,255.19999999999982,,117.3720000000003,,47.585309,-122.320011
005es16426_MN,2528.457,2528.6,,2746.286,6e-05,,0.08615,,0.08609,,0.1430000000000291,,217.82900000000018,,217.68600000000015,,47.58986,-122.32072
005es16466_MN,3629.629,3695.429,,3791.943,0.01813,,0.04472,,0.02612,,65.80000000000018,,162.3140000000003,,96.51400000000012,,47.595287,-122.320288
005es16513_MN,3794.848,3964.629,,4109.0,0.04474,,0.08278,,0.03641,,169.78099999999995,,314.15200000000004,,144.3710000000001,,47.60131,-122.323984
005es16513_MS,2345.657,2545.0,,2375.743,0.08498,,0.01283,,-0.06651,,199.34299999999985,,30.085999999999785,,-169.25700000000006,,47.60131,-122.323984
005es16551_MS,2014.714,2196.086,,2065.086,0.09002,,0.025,,-0.05965,,181.37199999999984,,50.371999999999844,,-131.0,,47.606038,-122.328769
005es16583_MN,4598.924,4775.324,,4660.514,0.03836,,0.01339,,-0.02404,,176.39999999999964,,61.590000000000146,,-114.80999999999949,,47.610236,-122.331017
005es16640_MS,4911.333,4971.524,,0,0.01226,,,,,,60.19100000000071,,,,,,47.618243,-122.328356
