sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon,direction
005es16272_MN,3543.833,3130.8,,3828.3,-0.11655,,0.08027,,0.22279,,-413.0329999999999,,284.4670000000001,,697.5,,47.567435,-122.320378,NBT
005es16272_MS,5113.267,5233.267,,0,0.02347,,,,,,120.0,,,,,,47.567435,-122.320378,SBT
005es16302_MN,3770.133,3354.0,,4117.933,-0.11038,,0.09225,,0.22777,,-416.1329999999998,,347.8000000000002,,763.933,,47.571736,-122.319878,NBT
005es16319_MN,3562.867,3169.933,,3871.9,-0.11029,,0.08674,,0.22145,,-392.9340000000002,,309.0329999999999,,701.9670000000001,,47.574333,-122.319754,NBT
005es16377_MN,4733.4,4278.267,,5122.4,-0.09615,,0.08218,,0.19731,,-455.1329999999998,,389.0,,844.1329999999998,,47.582716,-122.31961,NBT
005es16396_MS,5701.933,5771.533,,5999.067,0.01221,,0.05211,,0.03942,,69.60000000000036,,297.134,,227.53399999999965,,47.585309,-122.320011,SBT
005es16426_MN,2728.133,2564.133,,2973.867,-0.06011,,0.09007,,0.15979,,-164.0,,245.73400000000038,,409.7340000000004,,47.58986,-122.32072,NBT
005es16466_MN,4155.6,3985.933,,4307.0,-0.04083,,0.03643,,0.08055,,-169.66700000000037,,151.39999999999964,,321.067,,47.595287,-122.320288,NBT
005es16513_MN,4418.0,4395.089,,4664.267,-0.00519,,0.05574,,0.06125,,-22.911000000000058,,246.26699999999983,,269.1779999999999,,47.60131,-122.323984,NBT
005es16513_MS,2584.133,2783.133,,2641.4,0.07701,,0.02216,,-0.05093,,199.0,,57.26700000000028,,-141.73299999999972,,47.60131,-122.323984,SBT
005es16551_MS,2166.467,2338.667,,2226.533,0.07948,,0.02773,,-0.04795,,172.19999999999982,,60.0659999999998,,-112.13400000000001,,47.606038,-122.328769,SBT
005es16583_MN,5421.022,5351.444,,5336.222,-0.01283,,-0.01564,,-0.00284,,-69.57799999999952,,-84.80000000000018,,-15.222000000000662,,47.610236,-122.331017,NBT
005es16640_MS,5625.867,5550.422,,0,-0.01341,,,,,,-75.44500000000062,,,,,,47.618243,-122.328356,SBT
