sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon,direction
005es16272_MN,2405.778,2944.1,,2696.2,0.22376,,0.12072,,-0.0842,,538.3220000000001,,290.422,,-247.9000000000001,,47.567435,-122.320378,NBT
005es16272_MS,2595.0,2907.3,,0,0.12035,,,,,,312.3000000000002,,,,,,47.567435,-122.320378,SBT
005es16302_MN,2517.3,3089.55,,2862.8,0.22733,,0.13725,,-0.07339,,572.25,,345.5,,-226.75,,47.571736,-122.319878,NBT
005es16319_MN,2368.9,2902.2,,2688.2,0.22513,,0.13479,,-0.07374,,533.2999999999997,,319.2999999999997,,-214.0,,47.574333,-122.319754,NBT
005es16377_MN,3214.0,3857.6,,3618.8,0.20025,,0.12595,,-0.0619,,643.5999999999999,,404.8000000000002,,-238.79999999999973,,47.582716,-122.31961,NBT
005es16396_MS,2721.7,3158.7,,3072.7,0.16056,,0.12896,,-0.02723,,437.0,,351.0,,-86.0,,47.585309,-122.320011,SBT
005es16426_MN,1942.0,2361.0,,2206.5,0.21576,,0.1362,,-0.06544,,419.0,,264.5,,-154.5,,47.58986,-122.32072,NBT
005es16466_MN,2283.5,2880.1,,2614.8,0.26127,,0.14508,,-0.09211,,596.5999999999999,,331.3000000000002,,-265.2999999999997,,47.595287,-122.320288,NBT
005es16513_MN,2167.367,2856.1,,2719.6,0.31777,,0.25479,,-0.04779,,688.7329999999997,,552.2329999999997,,-136.5,,47.60131,-122.323984,NBT
005es16513_MS,1713.1,1971.2,,1781.1,0.15066,,0.03969,,-0.09644,,258.10000000000014,,68.0,,-190.10000000000014,,47.60131,-122.323984,SBT
005es16551_MS,1582.8,1828.3,,1640.8,0.1551,,0.03664,,-0.10255,,245.5,,58.0,,-187.5,,47.606038,-122.328769,SBT
005es16583_MN,2730.4,3273.1,,3019.7,0.19876,,0.10596,,-0.07742,,542.6999999999998,,289.2999999999997,,-253.4000000000001,,47.610236,-122.331017,NBT
005es16640_MS,3022.2,3515.2,,0,0.16313,,,,,,493.0,,,,,,47.618243,-122.328356,SBT
