sensys id,bc_avg,ac_avg,ao1_avg,ao2_avg,bcac_per,bcao1_per,bcao2_per,acao1_per,acao2_per,ao1ao2_per,bcac_vol,bcao1_vol,bcao2_vol,acao1_vol,acao2_vol,ao1ao2_vol,lat,lon,direction
005es16272_MN,2942.146,2974.986,,3124.278,0.01116,,0.0619,,0.05018,,32.83999999999969,,182.1319999999996,,149.29199999999992,,47.567435,-122.320378,NBT
005es16272_MS,4394.051,4513.431,,0,0.02717,,,,,,119.3799999999992,,,,,,47.567435,-122.320378,SBT
005es16302_MN,3118.785,3156.986,,3326.708,0.01225,,0.06667,,0.05376,,38.20100000000002,,207.92300000000023,,169.7220000000002,,47.571736,-122.319878,NBT
005es16319_MN,2932.847,2971.403,,3126.84,0.01315,,0.06614,,0.05231,,38.555999999999585,,193.99299999999994,,155.43700000000035,,47.574333,-122.319754,NBT
005es16377_MN,3933.986,4012.056,,4181.014,0.01985,,0.06279,,0.04211,,78.07000000000016,,247.02800000000025,,168.95800000000008,,47.582716,-122.31961,NBT
005es16396_MS,4563.069,4787.194,,4953.833,0.04912,,0.08564,,0.03481,,224.125,,390.7639999999992,,166.6389999999992,,47.585309,-122.320011,SBT
005es16426_MN,2473.514,2701.722,,2710.542,0.09226,,0.09583,,0.00326,,228.20800000000008,,237.0279999999998,,8.819999999999709,,47.58986,-122.32072,NBT
005es16466_MN,3342.528,3641.611,,3615.069,0.08948,,0.08154,,-0.00729,,299.0830000000001,,272.54100000000017,,-26.541999999999916,,47.595287,-122.320288,NBT
005es16513_MN,3544.676,3846.255,,3826.208,0.08508,,0.07942,,-0.00521,,301.5790000000002,,281.53200000000015,,-20.047000000000025,,47.60131,-122.323984,NBT
005es16513_MS,2376.806,2544.25,,2555.653,0.07045,,0.07525,,0.00448,,167.44399999999996,,178.84699999999975,,11.402999999999793,,47.60131,-122.323984,SBT
005es16551_MS,2176.514,2362.181,,2361.778,0.0853,,0.08512,,-0.00017,,185.66699999999992,,185.26399999999967,,-0.4030000000002474,,47.606038,-122.328769,SBT
005es16583_MN,4042.222,4272.356,,4151.556,0.05693,,0.02705,,-0.02827,,230.13399999999956,,109.33399999999938,,-120.80000000000018,,47.610236,-122.331017,NBT
005es16640_MS,4008.208,4154.319,,0,0.03645,,,,,,146.11100000000033,,,,,,47.618243,-122.328356,SBT
