tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date
114+08099,WESTERN AVE,NORTHBOUND,WALL ST,WA,KING,98121,47.6135,-122.34872,47.61406,-122.34962,0.057036,5.0,America/Los_Angeles,P1.11,USA,463,3,N,3,80389,1,,2,,1,1,,15183,617,617,1,100,0,100,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114+08098,WESTERN AVE,NORTHBOUND,WA-99/BATTERY ST,WA,KING,98121,47.61272,-122.34739,47.6135,-122.34872,0.082102,4.0,America/Los_Angeles,P1.11,USA,463,3,N,3,80389,1,,2,,1,1,,15183,617,617,1,100,0,100,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-08547,5TH AVE,NORTHBOUND,LEE ST,WA,KING,98109,47.62451,-122.34756,47.63105,-122.34749,0.452843,1.0,America/Los_Angeles,P1.11,USA,566,4,N,3,80389,2,,5,,1,1,,15530,621,621,1,100,0,100,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-08546,5TH AVE,NORTHBOUND,MERCER ST,WA,KING,98109,47.61857,-122.34763,47.62451,-122.34756,0.411605,2.0,America/Los_Angeles,P1.11,USA,566,4,N,3,80389,2,,4,,1,1,,13826,553,405,1,100,0,100,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-10503,S JACKSON ST,WESTBOUND,4TH AVE S,WA,KING,98104,47.59924,-122.31412,47.5992,-122.32905,0.695514,3.0,America/Los_Angeles,P1.11,USA,1197,4,N,3,80389,2,,4,,1,1,,10913,512,255,1,70,0,0,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114P04629,WA-99,NORTHBOUND,MARGINAL/SPOKANE/W SEATTLE BRG,WA,KING,98134,47.56653,-122.33929,47.57126,-122.33934,0.326786,46.0,America/Los_Angeles,P3.2,USA,110,3,N,2,80389,2,1,4,99,4,1,099i,43128,802,472,1,100,0,100,1,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-10745,W MARGINAL WAY SW,SOUTHBOUND,2ND AVE SW,WA,KING,98106,47.57208,-122.35954,47.53767,-122.33756,2.730026,2.0,America/Los_Angeles,P1.11,USA,1285,4,N,3,80389,2,,4,,1,1,,15405,615,615,1,82,0,0,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-09880,BOREN AVE,SOUTHBOUND,S JACKSON ST,WA,KING,98104,47.60934,-122.3251,47.59949,-122.31473,0.840769,2.0,America/Los_Angeles,P1.11,USA,989,4,N,3,80389,2,,4,,1,1,,18461,836,335,1,84,0,0,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114-09881,BOREN AVE,SOUTHBOUND,MADISON ST,WA,KING,98101,47.61821,-122.33484,47.60934,-122.3251,0.768629,1.0,America/Los_Angeles,P1.11,USA,989,4,N,3,80389,2,,4,,1,1,,17130,833,333,1,77,0,0,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
114P13586,SPOKANE ST,EASTBOUND,HARBOR AVE,WA,KING,98126,47.57142,-122.37071,47.57145,-122.37027,0.020611,1.5,America/Los_Angeles,P1.11,USA,1470,4,N,2,80389,2,,4,,1,1,,40243,1656,1242,1,100,0,100,0,1,2019-01-01 00:00:00-05:00,2020-01-01 00:00:00-05:00
