tmc,bt_avg,at1_avg,at2_avg,btat1_vol,btat2_vol,at1at2_vol,btat1_per,btat2_per,at1at2_per
114-08547,120.134,129.718,119.013,9.583999999999989,-1.1209999999999951,-10.704999999999984,0.07978,-0.00933,-0.08253
114-08546,92.44,93.074,87.889,0.6340000000000003,-4.551000000000002,-5.185000000000002,0.00686,-0.04923,-0.05571
114-10745,160.181,109.044,110.373,-51.137000000000015,-49.80800000000001,1.3290000000000077,-0.31925,-0.31095,0.01219
114P04629,12.326,9.08,15.021,-3.2460000000000004,2.6950000000000003,5.941000000000001,-0.26335,0.21864,0.6543
114-10503,198.65,153.069,118.639,-45.58100000000002,-80.01100000000001,-34.42999999999999,-0.22945,-0.40277,-0.22493
114-09880,166.917,176.637,212.757,9.719999999999999,45.84,36.120000000000005,0.05823,0.27463,0.20449
114-09881,160.775,158.399,160.172,-2.3760000000000048,-0.6030000000000086,1.7729999999999961,-0.01478,-0.00375,0.01119
114-10991,100.733,100.536,101.417,-0.19700000000000273,0.6839999999999975,0.8810000000000002,-0.00196,0.00679,0.00876
114+04634,20.245,22.743,22.9,2.4979999999999976,2.6549999999999976,0.15700000000000003,0.12339,0.13114,0.0069
114+04635,10.513,7.728,10.794,-2.785,0.2810000000000006,3.0660000000000007,-0.26491,0.02673,0.39674
114+04636,105.825,42.805,63.592,-63.02,-42.233000000000004,20.787,-0.59551,-0.39908,0.48562
114+04630,35.256,32.235,47.772,-3.021000000000001,12.515999999999998,15.536999999999999,-0.08569,0.355,0.48199
114+04631,13.759,9.931,15.1,-3.828000000000001,1.3409999999999993,5.1690000000000005,-0.27822,0.09746,0.52049
114+04632,44.474,28.121,42.99,-16.352999999999998,-1.4839999999999947,14.869000000000003,-0.3677,-0.03337,0.52875
114+04633,27.923,8.698,32.747,-19.224999999999998,4.824000000000002,24.049,-0.6885,0.17276,2.76489
114-10772,226.827,275.041,226.401,48.214,-0.4259999999999877,-48.639999999999986,0.21256,-0.00188,-0.17685
114-10770,92.397,86.762,99.641,-5.635000000000005,7.244,12.879000000000005,-0.06099,0.0784,0.14844
114-10771,128.636,116.129,142.689,-12.50699999999999,14.052999999999997,26.559999999999988,-0.09723,0.10925,0.22871
114+04629,101.655,91.517,117.408,-10.138000000000005,15.753,25.891000000000005,-0.09973,0.15497,0.28291
114+11179,142.331,179.677,151.297,37.346000000000004,8.966000000000008,-28.379999999999995,0.26239,0.06299,-0.15795
114-08639,35.382,33.49,32.322,-1.891999999999996,-3.059999999999995,-1.1679999999999993,-0.05347,-0.08648,-0.03488
114-08638,100.471,123.936,137.072,23.465000000000003,36.601,13.135999999999996,0.23355,0.36429,0.10599
114-11504,69.72,68.876,54.917,-0.8439999999999941,-14.802999999999997,-13.959000000000003,-0.01211,-0.21232,-0.20267
114+11160,215.283,202.003,248.101,-13.280000000000001,32.81800000000001,46.09800000000001,-0.06169,0.15244,0.2282
114N08640,2.878,4.037,3.244,1.1589999999999998,0.3660000000000001,-0.7929999999999997,0.40271,0.12717,-0.19643
114-08228,88.569,101.958,96.654,13.388999999999996,8.084999999999994,-5.304000000000002,0.15117,0.09128,-0.05202
114-08227,128.123,133.427,140.881,5.304000000000002,12.75800000000001,7.454000000000008,0.0414,0.09958,0.05587
114-08226,164.478,186.841,183.324,22.363,18.846000000000004,-3.516999999999996,0.13596,0.11458,-0.01882
114-08346,5.343,3.993,5.751,-1.35,0.40800000000000036,1.7580000000000005,-0.25267,0.07636,0.44027
114-08104,51.927,65.773,66.986,13.845999999999997,15.059000000000005,1.213000000000008,0.26664,0.29,0.01844
114-08345,20.683,15.279,14.999,-5.404,-5.683999999999999,-0.27999999999999936,-0.26128,-0.27482,-0.01833
114-08344,19.038,17.359,16.529,-1.6789999999999985,-2.5090000000000003,-0.8300000000000018,-0.08819,-0.13179,-0.04781
114P04549,6.107,6.743,6.215,0.6360000000000001,0.10799999999999965,-0.5280000000000005,0.10414,0.01768,-0.0783
114-08101,16.053,12.525,12.285,-3.5280000000000005,-3.7680000000000007,-0.2400000000000002,-0.21977,-0.23472,-0.01916
114-08343,45.006,44.459,35.591,-0.546999999999997,-9.415,-8.868000000000002,-0.01215,-0.20919,-0.19946
114P04548,2.309,2.361,2.425,0.052000000000000046,0.11599999999999966,0.06399999999999961,0.02252,0.05024,0.02711
114-08342,124.946,118.445,131.849,-6.501000000000005,6.902999999999992,13.403999999999996,-0.05203,0.05525,0.11317
114+50424,156.903,85.735,99.477,-71.16799999999999,-57.42599999999999,13.742000000000004,-0.45358,-0.366,0.16028
114N09714,1.282,1.264,1.649,-0.018000000000000016,0.367,0.385,-0.01404,0.28627,0.30459
114+04549,13.029,12.251,12.318,-0.7780000000000005,-0.7110000000000003,0.06700000000000017,-0.05971,-0.05457,0.00547
114-08210,325.638,366.493,311.341,40.85500000000002,-14.296999999999969,-55.15199999999999,0.12546,-0.0439,-0.15049
114+11180,115.49,121.061,140.187,5.571000000000012,24.697000000000017,19.126000000000005,0.04824,0.21385,0.15799
114+11181,99.337,101.069,91.925,1.7319999999999993,-7.412000000000006,-9.144000000000005,0.01744,-0.07461,-0.09047
114+04550,0.591,0.655,0.592,0.06400000000000006,0.0010000000000000009,-0.06300000000000006,0.10829,0.00169,-0.09618
114+04551,8.244,7.407,7.092,-0.8369999999999997,-1.1520000000000001,-0.3150000000000004,-0.10153,-0.13974,-0.04253
114+04552,1.37,1.445,1.722,0.07499999999999996,0.35199999999999987,0.2769999999999999,0.05474,0.25693,0.1917
114-08209,50.321,47.627,43.261,-2.6939999999999955,-7.059999999999995,-4.366,-0.05354,-0.1403,-0.09167
114-08208,47.771,40.101,52.344,-7.670000000000002,4.573,12.243000000000002,-0.16056,0.09573,0.3053
114P11180,28.149,24.221,27.609,-3.928000000000001,-0.5399999999999991,3.3880000000000017,-0.13954,-0.01918,0.13988
114+11094,128.51,110.967,107.671,-17.542999999999992,-20.838999999999984,-3.2959999999999923,-0.13651,-0.16216,-0.0297
114+11095,239.801,263.23,235.727,23.42900000000003,-4.073999999999984,-27.503000000000014,0.0977,-0.01699,-0.10448
114N04119,15.438,9.311,20.689,-6.127000000000001,5.2509999999999994,11.378,-0.39688,0.34013,1.222
114N04118,1.892,1.398,2.105,-0.494,0.21300000000000008,0.7070000000000001,-0.2611,0.11258,0.50572
114P04552,12.405,12.083,11.882,-0.3219999999999992,-0.5229999999999997,-0.2010000000000005,-0.02596,-0.04216,-0.01663
114P04551,16.292,15.245,15.005,-1.0470000000000024,-1.2870000000000008,-0.23999999999999844,-0.06426,-0.079,-0.01574
114P04550,2.295,2.341,2.357,0.04600000000000026,0.06200000000000028,0.016000000000000014,0.02004,0.02702,0.00683
114-04196,23.795,21.793,24.651,-2.0020000000000024,0.8559999999999981,2.8580000000000005,-0.08414,0.03597,0.13114
114-04195,2.564,2.304,2.498,-0.26000000000000023,-0.06599999999999984,0.1940000000000004,-0.1014,-0.02574,0.0842
114-04197,6.864,7.259,7.99,0.39500000000000046,1.1260000000000003,0.7309999999999999,0.05755,0.16404,0.1007
114-04192,25.246,20.366,22.77,-4.879999999999999,-2.475999999999999,2.404,-0.1933,-0.09807,0.11804
114-04191,13.057,9.509,8.853,-3.548,-4.204000000000001,-0.6560000000000006,-0.27173,-0.32197,-0.06899
114-04194,5.106,4.478,4.893,-0.6280000000000001,-0.21300000000000008,0.41500000000000004,-0.12299,-0.04172,0.09268
114-04193,16.158,8.824,12.157,-7.334000000000001,-4.001000000000001,3.333,-0.45389,-0.24762,0.37772
114-10501,64.877,51.866,73.831,-13.010999999999996,8.954000000000008,21.965000000000003,-0.20055,0.13802,0.4235
114-10741,83.357,81.658,82.749,-1.698999999999998,-0.6080000000000041,1.090999999999994,-0.02038,-0.00729,0.01336
114N07997,1.269,0.95,1.302,-0.31899999999999995,0.03300000000000014,0.3520000000000001,-0.25138,0.026,0.37053
114-51377,17.459,20.491,20.155,3.032,2.6960000000000015,-0.3359999999999985,0.17366,0.15442,-0.0164
114N07994,5.775,5.452,6.27,-0.3230000000000004,0.4949999999999992,0.8179999999999996,-0.05593,0.08571,0.15004
114N04121,2.623,2.606,2.884,-0.017000000000000348,0.2609999999999997,0.278,-0.00648,0.0995,0.10668
114-51376,38.881,50.515,37.576,11.634,-1.3049999999999997,-12.939,0.29922,-0.03356,-0.25614
114-07975,19.175,20.096,24.137,0.9209999999999994,4.962,4.041,0.04803,0.25877,0.20108
114-07974,178.527,151.412,196.692,-27.11499999999998,18.16500000000002,45.28,-0.15188,0.10175,0.29905
114-09920,49.164,37.862,41.489,-11.302,-7.675000000000004,3.6269999999999953,-0.22988,-0.15611,0.0958
114P08025,44.717,40.881,44.677,-3.8359999999999985,-0.03999999999999915,3.7959999999999994,-0.08578,-0.00089,0.09285
114P08024,2.874,2.807,2.315,-0.06700000000000017,-0.5590000000000002,-0.492,-0.02331,-0.1945,-0.17528
114+07975,22.805,29.946,26.473,7.141000000000002,3.6679999999999993,-3.4730000000000025,0.31313,0.16084,-0.11598
114N09919,0.956,0.6,0.86,-0.356,-0.09599999999999997,0.26,-0.37238,-0.10042,0.43333
114+07976,18.544,30.675,26.401,12.131,7.856999999999999,-4.274000000000001,0.65417,0.42369,-0.13933
114P14841,3.927,4.097,4.811,0.17000000000000037,0.8839999999999999,0.7139999999999995,0.04329,0.22511,0.17427
114N07976,14.591,16.43,17.417,1.8390000000000004,2.8260000000000023,0.9870000000000019,0.12604,0.19368,0.06007
114+09920,63.075,74.139,83.708,11.063999999999993,20.632999999999996,9.569000000000003,0.17541,0.32712,0.12907
114+04118,7.623,8.042,9.544,0.4189999999999996,1.9210000000000003,1.5020000000000007,0.05497,0.252,0.18677
114+04119,0.567,0.56,0.804,-0.006999999999999895,0.2370000000000001,0.244,-0.01235,0.41799,0.43571
114N04552,102.967,104.497,117.903,1.5300000000000011,14.936000000000007,13.406000000000006,0.01486,0.14506,0.12829
