tmc,bt_avg,at1_avg,at2_avg,btat1_vol,btat2_vol,at1at2_vol,btat1_per,btat2_per,at1at2_per
114-08547,114.388,159.541,154.51,45.15299999999999,40.121999999999986,-5.031000000000006,0.39474,0.35075,-0.03153
114-08546,78.825,69.344,62.522,-9.481000000000009,-16.303000000000004,-6.821999999999996,-0.12028,-0.20683,-0.09838
114-10745,59.97,61.655,52.645,1.6850000000000023,-7.324999999999996,-9.009999999999998,0.0281,-0.12214,-0.14614
114P04629,6.063,5.835,5.516,-0.22799999999999976,-0.5469999999999997,-0.31899999999999995,-0.03761,-0.09022,-0.05467
114-10503,124.143,128.849,166.004,4.705999999999989,41.86099999999999,37.155,0.03791,0.3372,0.28836
114-09880,148.334,136.512,109.112,-11.822000000000003,-39.22200000000001,-27.400000000000006,-0.0797,-0.26442,-0.20071
114-09881,168.327,180.473,170.05,12.146000000000015,1.7230000000000132,-10.423000000000002,0.07216,0.01024,-0.05775
114-10991,94.934,99.024,124.518,4.090000000000003,29.584000000000003,25.494,0.04308,0.31163,0.25745
114+04634,17.51,16.798,11.65,-0.7120000000000033,-5.860000000000001,-5.147999999999998,-0.04066,-0.33467,-0.30647
114+04635,3.961,4.505,3.302,0.544,-0.6589999999999998,-1.2029999999999998,0.13734,-0.16637,-0.26704
114+04636,29.863,30.464,26.675,0.6009999999999991,-3.187999999999999,-3.788999999999998,0.02013,-0.10675,-0.12438
114+04630,19.388,22.771,22.136,3.382999999999999,2.7479999999999976,-0.6350000000000016,0.17449,0.14174,-0.02789
114+04631,13.617,22.0,9.082,8.383,-4.535,-12.918,0.61563,-0.33304,-0.58718
114+04632,73.41,81.968,45.956,8.558000000000007,-27.453999999999994,-36.012,0.11658,-0.37398,-0.43934
114+04633,21.331,17.42,20.978,-3.910999999999998,-0.352999999999998,3.558,-0.18335,-0.01655,0.20425
114-10772,138.912,195.223,196.305,56.31100000000001,57.393,1.0819999999999936,0.40537,0.41316,0.00554
114-10770,102.99,64.116,69.98,-38.873999999999995,-33.00999999999999,5.864000000000004,-0.37745,-0.32052,0.09146
114-10771,93.312,118.187,68.721,24.875,-24.590999999999994,-49.465999999999994,0.26658,-0.26354,-0.41854
114+04629,55.862,67.003,51.706,11.140999999999998,-4.155999999999999,-15.296999999999997,0.19944,-0.0744,-0.2283
114+11179,164.27,167.97,194.749,3.6999999999999886,30.478999999999985,26.778999999999996,0.02252,0.18554,0.15943
114-08639,35.826,20.78,19.658,-15.046,-16.168,-1.1219999999999999,-0.41997,-0.45129,-0.05399
114-08638,56.014,57.534,71.052,1.519999999999996,15.038000000000004,13.518000000000008,0.02714,0.26847,0.23496
114-11504,53.323,60.356,49.433,7.033000000000001,-3.8900000000000006,-10.923000000000002,0.13189,-0.07295,-0.18098
114+11160,165.003,159.77,200.845,-5.232999999999976,35.84200000000001,41.07499999999999,-0.03171,0.21722,0.25709
114N08640,2.548,3.056,2.079,0.508,-0.46899999999999986,-0.9769999999999999,0.19937,-0.18407,-0.3197
114-08228,82.963,77.735,74.563,-5.227999999999994,-8.399999999999991,-3.171999999999997,-0.06302,-0.10125,-0.04081
114-08227,116.207,141.389,114.698,25.182000000000016,-1.5090000000000003,-26.691000000000017,0.2167,-0.01299,-0.18878
114-08226,136.622,157.016,139.886,20.393999999999977,3.2639999999999816,-17.129999999999995,0.14927,0.02389,-0.1091
114-08346,2.124,2.48,3.162,0.35599999999999987,1.0379999999999998,0.6819999999999999,0.16761,0.4887,0.275
114-08104,31.861,32.416,32.044,0.5549999999999962,0.18299999999999628,-0.3719999999999999,0.01742,0.00574,-0.01148
114-08345,7.524,9.266,10.937,1.742,3.4129999999999994,1.6709999999999994,0.23153,0.45362,0.18034
114-08344,8.553,10.121,11.269,1.5679999999999996,2.7159999999999993,1.1479999999999997,0.18333,0.31755,0.11343
114P04549,5.751,3.599,3.816,-2.152,-1.9350000000000005,0.21699999999999964,-0.3742,-0.33646,0.06029
114-08101,22.161,17.513,16.428,-4.648,-5.7330000000000005,-1.0850000000000009,-0.20974,-0.2587,-0.06195
114-08343,8.99,10.059,12.546,1.068999999999999,3.555999999999999,2.487,0.11891,0.39555,0.24724
114P04548,0.804,1.657,1.756,0.853,0.952,0.09899999999999998,1.06095,1.18408,0.05975
114-08342,24.163,23.294,26.314,-0.8689999999999998,2.151,3.0199999999999996,-0.03596,0.08902,0.12965
114+50424,97.344,65.339,115.218,-32.004999999999995,17.87400000000001,49.879000000000005,-0.32878,0.18362,0.76339
114N09714,1.421,1.674,1.147,0.2529999999999999,-0.274,-0.5269999999999999,0.17804,-0.19282,-0.31481
114+04549,6.716,8.828,10.267,2.111999999999999,3.5509999999999993,1.439,0.31447,0.52874,0.163
114-08210,296.646,306.121,306.265,9.474999999999966,9.618999999999971,0.14400000000000546,0.03194,0.03243,0.00047
114+11180,83.33,97.769,104.011,14.439000000000007,20.680999999999997,6.24199999999999,0.17327,0.24818,0.06384
114+11181,89.352,80.878,73.959,-8.474000000000004,-15.393,-6.918999999999997,-0.09484,-0.17227,-0.08555
