tmc,bt_avg,at1_avg,at2_avg,btat1_vol,btat2_vol,at1at2_vol,btat1_per,btat2_per,at1at2_per
114P04629,50.62,36.526,42.994,-14.094,-7.626,6.468,-0.27843,-0.15065,0.17708
114-09880,164.581,182.693,152.138,18.112,-12.443,-30.555,0.11005,-0.0756,-0.16725
114-09881,169.662,154.961,171.613,-14.701,1.951,16.652,-0.08665,0.0115,0.10746
114-10991,112.584,76.256,90.363,-36.328,-22.221,14.107,-0.32267,-0.19737,0.185
114+04634,11.819,7.543,8.077,-4.276,-3.742,0.534,-0.36179,-0.31661,0.07079
114+04635,3.4,3.542,3.001,0.142,-0.399,-0.541,0.04176,-0.11735,-0.15274
114+04636,27.871,28.821,29.012,0.95,1.141,0.191,0.03409,0.04094,0.00663
114+04630,56.345,70.484,40.131,14.139,-16.214,-30.353,0.25094,-0.28776,-0.43064
114+04631,19.229,12.926,9.293,-6.303,-9.936,-3.633,-0.32779,-0.51672,-0.28106
114+04632,39.237,31.933,18.206,-7.304,-21.031,-13.727,-0.18615,-0.536,-0.42987
114+04633,18.756,16.992,12.153,-1.764,-6.603,-4.839,-0.09405,-0.35205,-0.28478
114-10772,290.547,147.8,154.76,-142.747,-135.787,6.96,-0.4913,-0.46735,0.04709
114+04629,213.758,138.707,164.852,-75.051,-48.906,26.145,-0.3511,-0.22879,0.18849
114+11179,164.106,146.897,155.71,-17.209,-8.396,8.813,-0.10487,-0.05116,0.05999
114-11504,70.348,68.863,68.676,-1.485,-1.672,-0.187,-0.02111,-0.02377,-0.00272
114+11160,135.784,211.351,179.065,75.567,43.281,-32.286,0.55652,0.31875,-0.15276
114-08228,113.427,107.233,106.576,-6.194,-6.851,-0.657,-0.05461,-0.0604,-0.00613
114-08227,142.336,141.965,143.461,-0.371,1.125,1.496,-0.00261,0.0079,0.01054
114-08226,174.762,186.015,165.309,11.253,-9.453,-20.706,0.06439,-0.05409,-0.11131
114-08346,4.045,5.518,5.322,1.473,1.277,-0.196,0.36415,0.3157,-0.03552
114-08104,75.507,83.051,108.444,7.544,32.937,25.393,0.09991,0.43621,0.30575
114-08345,13.673,18.224,16.81,4.551,3.137,-1.414,0.33285,0.22943,-0.07759
114-08344,10.387,11.776,10.714,1.389,0.327,-1.062,0.13372,0.03148,-0.09018
114P04549,13.248,18.901,16.498,5.653,3.25,-2.403,0.42671,0.24532,-0.12714
114-08343,12.807,13.691,13.305,0.884,0.498,-0.386,0.06902,0.03888,-0.02819
114P04548,4.333,5.094,4.385,0.761,0.052,-0.709,0.17563,0.012,-0.13918
114-08342,24.852,25.282,27.407,0.43,2.555,2.125,0.0173,0.10281,0.08405
114+50424,84.416,94.621,106.675,10.205,22.259,12.054,0.12089,0.26368,0.12739
114N09714,9.35,11.303,12.649,1.953,3.299,1.346,0.20888,0.35283,0.11908
114+04549,31.794,33.851,28.284,2.057,-3.51,-5.567,0.0647,-0.1104,-0.16446
114-08210,308.434,263.735,258.492,-44.699,-49.942,-5.243,-0.14492,-0.16192,-0.01988
114+11180,125.236,139.646,143.295,14.41,18.059,3.649,0.11506,0.1442,0.02613
114+11181,124.475,124.131,144.286,-0.344,19.811,20.155,-0.00276,0.15916,0.16237
114+04550,1.196,2.085,1.474,0.889,0.278,-0.611,0.74331,0.23244,-0.29305
114+04551,9.909,19.901,8.285,9.992,-1.624,-11.616,1.00838,-0.16389,-0.58369
114P50424,2.255,2.196,2.593,-0.059,0.338,0.397,-0.02616,0.14989,0.18078
114-08209,45.461,52.929,42.725,7.468,-2.736,-10.204,0.16427,-0.06018,-0.19279
114-08208,39.733,47.033,44.571,7.3,4.838,-2.462,0.18373,0.12176,-0.05235
114P11180,32.897,26.217,38.122,-6.68,5.225,11.905,-0.20306,0.15883,0.45409
114P11181,1.592,2.011,1.877,0.419,0.285,-0.134,0.26319,0.17902,-0.06663
114+11094,105.909,107.654,121.93,1.745,16.021,14.276,0.01648,0.15127,0.13261
114+11095,220.699,241.421,232.419,20.722,11.72,-9.002,0.09389,0.0531,-0.03729
114N04119,8.448,10.555,10.526,2.107,2.078,-0.029,0.24941,0.24598,-0.00275
114N04118,0.997,1.419,1.506,0.422,0.509,0.087,0.42327,0.51053,0.06131
114P04551,34.03,80.963,41.386,46.933,7.356,-39.577,1.37917,0.21616,-0.48883
114P04550,2.951,6.065,3.436,3.114,0.485,-2.629,1.05524,0.16435,-0.43347
114-04196,20.49,17.879,16.224,-2.611,-4.266,-1.655,-0.12743,-0.2082,-0.09257
114-04195,1.394,1.543,1.344,0.149,-0.05,-0.199,0.10689,-0.03587,-0.12897
114-04197,6.839,4.871,4.716,-1.968,-2.123,-0.155,-0.28776,-0.31043,-0.03182
114-04192,9.875,13.563,14.105,3.688,4.23,0.542,0.37347,0.42835,0.03996
114-04191,5.233,6.41,6.194,1.177,0.961,-0.216,0.22492,0.18364,-0.0337
114-04194,2.765,3.265,2.888,0.5,0.123,-0.377,0.18083,0.04448,-0.11547
114-04193,5.285,11.877,9.031,6.592,3.746,-2.846,1.2473,0.7088,-0.23962
114N07997,0.962,0.931,0.807,-0.031,-0.155,-0.124,-0.03222,-0.16112,-0.13319
114-51377,26.395,26.132,24.401,-0.263,-1.994,-1.731,-0.00996,-0.07554,-0.06624
114N04121,1.799,1.835,2.195,0.036,0.396,0.36,0.02001,0.22012,0.19619
114-51376,56.778,45.597,49.937,-11.181,-6.841,4.34,-0.19692,-0.12049,0.09518
114-07975,22.085,21.219,22.337,-0.866,0.252,1.118,-0.03921,0.01141,0.05269
114-07974,206.603,224.756,213.759,18.153,7.156,-10.997,0.08786,0.03464,-0.04893
114P08025,53.999,76.141,63.136,22.142,9.137,-13.005,0.41004,0.16921,-0.1708
114P08024,1.711,1.739,1.627,0.028,-0.084,-0.112,0.01636,-0.04909,-0.0644
114+07975,22.113,21.588,28.379,-0.525,6.266,6.791,-0.02374,0.28336,0.31457
114+07976,22.792,31.633,35.88,8.841,13.088,4.247,0.3879,0.57424,0.13426
114P14841,12.203,18.138,6.051,5.935,-6.152,-12.087,0.48636,-0.50414,-0.66639
114N07976,17.493,18.674,18.905,1.181,1.412,0.231,0.06751,0.08072,0.01237
114+04118,9.284,12.296,9.598,3.012,0.314,-2.698,0.32443,0.03382,-0.21942
114+04119,0.773,1.179,0.887,0.406,0.114,-0.292,0.52523,0.14748,-0.24767
114N04552,111.894,107.007,115.823,-4.887,3.929,8.816,-0.04368,0.03511,0.08239
114N04551,48.734,41.815,49.299,-6.919,0.565,7.484,-0.14197,0.01159,0.17898
114N04550,3.412,4.065,4.214,0.653,0.802,0.149,0.19138,0.23505,0.03665
