tmc,bt_avg,at1_avg,at2_avg,btat1_vol,btat2_vol,at1at2_vol,btat1_per,btat2_per,at1at2_per
114P04629,4.487,4.727,4.502,0.2400000000000002,0.01499999999999968,-0.22500000000000053,0.05349,0.00334,-0.0476
114-09880,74.33,90.359,58.679,16.028999999999996,-15.650999999999996,-31.679999999999993,0.21565,-0.21056,-0.3506
114-09881,166.908,156.218,134.924,-10.689999999999998,-31.98399999999998,-21.293999999999983,-0.06405,-0.19163,-0.13631
114-10991,49.771,51.649,51.865,1.8780000000000001,2.094000000000001,0.21600000000000108,0.03773,0.04207,0.00418
114+04634,8.609,4.61,6.095,-3.9989999999999997,-2.5140000000000002,1.4849999999999994,-0.46451,-0.29202,0.32213
114+04635,1.962,2.714,1.733,0.752,-0.22899999999999987,-0.9809999999999999,0.38328,-0.11672,-0.36146
114+04636,20.123,27.408,25.252,7.285,5.128999999999998,-2.1560000000000024,0.36202,0.25488,-0.07866
114+04630,15.528,29.324,25.238,13.796000000000001,9.709999999999999,-4.086000000000002,0.88846,0.62532,-0.13934
114+04631,8.294,17.877,8.994,9.582999999999998,0.6999999999999993,-8.883,1.15541,0.0844,-0.4969
114+04632,20.192,26.717,20.281,6.524999999999999,0.08899999999999864,-6.436,0.32315,0.00441,-0.2409
114+04633,30.015,4.301,14.573,-25.714,-15.442,10.272,-0.8567,-0.51448,2.38828
114-10772,136.571,119.838,117.97,-16.733000000000004,-18.601,-1.867999999999995,-0.12252,-0.1362,-0.01559
114+04629,46.11,101.816,82.192,55.706,36.081999999999994,-19.62400000000001,1.20811,0.78252,-0.19274
114+11179,140.76,109.434,144.89,-31.325999999999993,4.1299999999999955,35.45599999999999,-0.22255,0.02934,0.32399
114-11504,32.199,53.166,35.26,20.967,3.061,-17.906,0.65117,0.09507,-0.33679
114+11160,196.959,186.451,172.503,-10.50800000000001,-24.456000000000017,-13.948000000000008,-0.05335,-0.12417,-0.07481
114-08228,67.604,59.83,68.961,-7.774000000000001,1.3569999999999993,9.131,-0.11499,0.02007,0.15262
114-08227,101.806,109.765,88.831,7.959000000000003,-12.974999999999994,-20.933999999999997,0.07818,-0.12745,-0.19072
114-08226,106.866,99.151,120.552,-7.715000000000003,13.686000000000007,21.40100000000001,-0.07219,0.12807,0.21584
114-08346,3.69,2.088,3.018,-1.6019999999999999,-0.6720000000000002,0.9299999999999997,-0.43415,-0.18211,0.4454
114-08104,24.598,24.263,28.445,-0.3349999999999973,3.8470000000000013,4.181999999999999,-0.01362,0.15639,0.17236
114-08345,11.545,8.242,10.856,-3.302999999999999,-0.6890000000000001,2.613999999999999,-0.2861,-0.05968,0.31716
114-08344,6.489,6.806,7.103,0.31700000000000017,0.6139999999999999,0.2969999999999997,0.04885,0.09462,0.04364
114P04549,4.666,5.334,5.059,0.6679999999999993,0.3929999999999998,-0.27499999999999947,0.14316,0.08423,-0.05156
114-08343,7.921,8.79,12.137,0.8689999999999989,4.216,3.3470000000000013,0.10971,0.53226,0.38077
114P04548,1.625,1.561,1.36,-0.06400000000000006,-0.2649999999999999,-0.20099999999999985,-0.03938,-0.16308,-0.12876
114-08342,13.383,16.061,18.841,2.678000000000001,5.458000000000002,2.780000000000001,0.2001,0.40783,0.17309
114+50424,114.648,167.589,69.745,52.941,-44.90299999999999,-97.844,0.46177,-0.39166,-0.58383
114N09714,1.308,1.01,1.031,-0.29800000000000004,-0.27700000000000014,0.020999999999999908,-0.22783,-0.21177,0.02079
114+04549,8.897,10.197,8.121,1.299999999999999,-0.7759999999999998,-2.0759999999999987,0.14612,-0.08722,-0.20359
114-08210,177.037,212.541,239.775,35.50399999999999,62.738,27.23400000000001,0.20055,0.35438,0.12814
114+11180,63.568,65.416,91.25,1.847999999999999,27.682000000000002,25.834000000000003,0.02907,0.43547,0.39492
114+11181,72.402,84.981,56.586,12.578999999999994,-15.816000000000003,-28.394999999999996,0.17374,-0.21845,-0.33413
114+04550,0.477,0.59,0.477,0.11299999999999999,0.0,-0.11299999999999999,0.2369,0.0,-0.19153
114+04551,3.107,3.517,2.711,0.4099999999999997,-0.39600000000000035,-0.806,0.13196,-0.12745,-0.22917
114P50424,1.171,2.124,1.594,0.9530000000000001,0.42300000000000004,-0.53,0.81383,0.36123,-0.24953
114-08209,22.249,40.136,34.807,17.887000000000004,12.558000000000003,-5.329000000000001,0.80395,0.56443,-0.13277
114-08208,39.908,38.349,40.741,-1.5590000000000046,0.8329999999999984,2.392000000000003,-0.03906,0.02087,0.06237
114P11180,16.63,9.891,16.332,-6.738999999999999,-0.29799999999999827,6.441000000000001,-0.40523,-0.01792,0.6512
114P11181,2.94,2.267,1.558,-0.673,-1.382,-0.7089999999999999,-0.22891,-0.47007,-0.31275
114+11094,121.501,108.55,110.91,-12.951000000000008,-10.591000000000008,2.3599999999999994,-0.10659,-0.08717,0.02174
114+11095,155.596,122.939,187.669,-32.65700000000001,32.07300000000001,64.73000000000002,-0.20988,0.20613,0.52652
114N04119,3.614,4.527,3.211,0.9130000000000003,-0.403,-1.3160000000000003,0.25263,-0.11151,-0.2907
114N04118,0.378,0.438,0.303,0.06,-0.07500000000000001,-0.135,0.15873,-0.19841,-0.30822
114P04551,7.198,8.414,6.614,1.2159999999999993,-0.5840000000000005,-1.7999999999999998,0.16894,-0.08113,-0.21393
114P04550,1.28,1.494,1.224,0.21399999999999997,-0.05600000000000005,-0.27,0.16719,-0.04375,-0.18072
114-04196,2.819,8.305,2.99,5.486,0.17100000000000026,-5.3149999999999995,1.94608,0.06066,-0.63998
114-04195,0.446,0.968,0.513,0.522,0.067,-0.45499999999999996,1.1704,0.15022,-0.47004
114-04197,0.617,1.988,0.603,1.371,-0.014000000000000012,-1.385,2.22204,-0.02269,-0.69668
114-04192,2.851,4.917,3.783,2.066,0.9319999999999999,-1.134,0.72466,0.3269,-0.23063
114-04191,2.552,3.497,2.586,0.9449999999999998,0.03399999999999981,-0.911,0.3703,0.01332,-0.26051
114-04194,1.126,1.787,1.144,0.661,0.018000000000000016,-0.643,0.58703,0.01599,-0.35982
114-04193,1.531,2.603,1.558,1.0720000000000003,0.027000000000000135,-1.0450000000000002,0.7002,0.01764,-0.40146
114N07997,1.179,1.129,0.327,-0.050000000000000044,-0.8520000000000001,-0.802,-0.04241,-0.72265,-0.71036
114-51377,13.671,13.237,13.39,-0.4339999999999993,-0.2809999999999988,0.15300000000000047,-0.03175,-0.02055,0.01156
114N04121,1.14,1.767,1.947,0.627,0.8070000000000002,0.18000000000000016,0.55,0.70789,0.10187
114-51376,21.039,32.724,27.288,11.684999999999995,6.248999999999999,-5.435999999999996,0.5554,0.29702,-0.16612
114-07975,3.177,11.51,5.984,8.333,2.807,-5.526,2.62291,0.88354,-0.4801
114-07974,84.279,103.48,101.827,19.201000000000008,17.548000000000002,-1.6530000000000058,0.22783,0.20821,-0.01597
114P08025,41.593,28.015,40.713,-13.578000000000003,-0.8800000000000026,12.698,-0.32645,-0.02116,0.45326
114P08024,2.678,1.754,1.263,-0.9239999999999999,-1.415,-0.4910000000000001,-0.34503,-0.52838,-0.27993
114+07975,10.282,22.951,8.767,12.669,-1.5150000000000006,-14.184000000000001,1.23215,-0.14734,-0.61801
114+07976,14.581,20.88,11.351,6.2989999999999995,-3.2299999999999986,-9.528999999999998,0.432,-0.22152,-0.45637
114P14841,0.964,3.117,2.238,2.153,1.274,-0.879,2.2334,1.32158,-0.282
114N07976,14.904,7.809,10.713,-7.095,-4.191000000000001,2.903999999999999,-0.47605,-0.2812,0.37188
114+04118,2.549,2.254,2.178,-0.29499999999999993,-0.371,-0.07600000000000007,-0.11573,-0.14555,-0.03372
114+04119,0.147,0.157,0.137,0.010000000000000009,-0.009999999999999981,-0.01999999999999999,0.06803,-0.06803,-0.12739
114N04552,6.776,23.806,8.876,17.03,2.0999999999999996,-14.930000000000001,2.51328,0.30992,-0.62715
114N04551,3.436,24.169,3.887,20.733,0.45100000000000007,-20.282,6.03405,0.13126,-0.83917
114N04550,0.86,1.62,0.705,0.7600000000000001,-0.15500000000000003,-0.9150000000000001,0.88372,-0.18023,-0.56481
114+07995,67.675,67.676,54.98,0.0010000000000047748,-12.695,-12.696000000000005,1e-05,-0.18759,-0.1876
114+08848,85.978,58.109,85.673,-27.868999999999993,-0.3049999999999926,27.564,-0.32414,-0.00355,0.47435
114-04551,0.538,2.247,0.679,1.7089999999999999,0.14100000000000001,-1.5679999999999998,3.17658,0.26208,-0.69782
114+07997,55.629,44.689,28.378,-10.939999999999998,-27.250999999999998,-16.311,-0.19666,-0.48987,-0.36499
114+07996,61.883,59.664,36.22,-2.219000000000001,-25.663000000000004,-23.444000000000003,-0.03586,-0.4147,-0.39293
114-04550,2.087,8.247,1.66,6.16,-0.42700000000000027,-6.587,2.95161,-0.2046,-0.79871
114P08272,1.187,1.553,0.81,0.3659999999999999,-0.377,-0.7429999999999999,0.30834,-0.31761,-0.47843
114-09714,53.856,59.24,44.302,5.384,-9.554000000000002,-14.938000000000002,0.09997,-0.1774,-0.25216
114P10105,3.37,3.938,2.666,0.5680000000000001,-0.7040000000000002,-1.2720000000000002,0.16855,-0.2089,-0.32301
114P10106,6.437,5.304,5.165,-1.133,-1.2720000000000002,-0.13900000000000023,-0.17601,-0.19761,-0.02621
114N11180,22.881,23.759,25.784,0.8780000000000001,2.9029999999999987,2.0249999999999986,0.03837,0.12687,0.08523
114+51376,17.987,16.44,15.922,-1.546999999999997,-2.0649999999999977,-0.5180000000000007,-0.08601,-0.11481,-0.03151
114+09715,58.936,93.059,85.027,34.123,26.091,-8.031999999999996,0.57898,0.4427,-0.08631
114P10283,3.796,3.852,4.544,0.05600000000000005,0.7479999999999998,0.6919999999999997,0.01475,0.19705,0.17965
114N04549,3.001,5.74,2.486,2.7390000000000003,-0.5149999999999997,-3.254,0.9127,-0.17161,-0.5669
114N04548,0.611,0.745,0.504,0.134,-0.10699999999999998,-0.241,0.21931,-0.17512,-0.32349
114P10168,3.851,4.2,4.052,0.3490000000000002,0.20099999999999962,-0.14800000000000058,0.09063,0.05219,-0.03524
114-50423,50.616,42.84,58.157,-7.775999999999996,7.540999999999997,15.316999999999993,-0.15363,0.14898,0.35754
114+08639,43.806,58.483,47.115,14.677,3.3090000000000046,-11.367999999999995,0.33505,0.07554,-0.19438
114-07996,50.086,39.308,25.434,-10.777999999999999,-24.651999999999997,-13.873999999999999,-0.21519,-0.49219,-0.35296
114-07995,53.725,23.088,62.296,-30.637,8.570999999999998,39.208,-0.57026,0.15953,1.6982
114-07994,73.283,57.612,84.493,-15.671,11.209999999999994,26.880999999999993,-0.21384,0.15297,0.46659
114-04120,8.125,11.374,16.213,3.2490000000000006,8.088000000000001,4.839,0.39988,0.99545,0.42544
114-14375,151.846,91.282,214.619,-60.56400000000001,62.772999999999996,123.337,-0.39885,0.4134,1.35116
114-04118,0.176,0.198,0.144,0.02200000000000002,-0.032,-0.05400000000000002,0.125,-0.18182,-0.27273
114-04628,61.592,38.274,55.995,-23.317999999999998,-5.597000000000001,17.720999999999997,-0.37859,-0.09087,0.463
114P10992,1.113,1.023,1.466,-0.09000000000000008,0.353,0.44300000000000006,-0.08086,0.31716,0.43304
114P10991,7.749,11.06,7.717,3.311000000000001,-0.03200000000000003,-3.343000000000001,0.42728,-0.00413,-0.30226
114+08542,126.394,94.318,84.384,-32.07600000000001,-42.010000000000005,-9.933999999999997,-0.25378,-0.33237,-0.10532
114-11179,66.138,47.191,44.354,-18.947000000000003,-21.784000000000006,-2.8370000000000033,-0.28648,-0.32937,-0.06012
114N04629,7.08,6.954,7.215,-0.12600000000000033,0.1349999999999998,0.2610000000000001,-0.0178,0.01907,0.03753
114-11178,78.698,77.083,121.78,-1.6149999999999949,43.08200000000001,44.697,-0.02052,0.54743,0.57986
114-08094,69.814,80.592,48.355,10.778000000000006,-21.458999999999996,-32.237,0.15438,-0.30737,-0.4
114+04197,2.093,2.583,2.108,0.4900000000000002,0.015000000000000124,-0.4750000000000001,0.23411,0.00717,-0.18389
114+04198,0.654,0.645,0.438,-0.009000000000000008,-0.21600000000000003,-0.20700000000000002,-0.01376,-0.33028,-0.32093
114+04193,21.309,25.409,11.528,4.099999999999998,-9.781,-13.880999999999998,0.19241,-0.45901,-0.5463
114+09761,22.021,23.59,29.26,1.568999999999999,7.239000000000001,5.670000000000002,0.07125,0.32873,0.24036
114+09882,96.631,56.063,160.096,-40.568,63.465,104.033,-0.41982,0.65678,1.85564
114+04194,17.713,21.636,14.735,3.9229999999999983,-2.9780000000000015,-6.901,0.22148,-0.16813,-0.31896
114+04195,2.968,3.561,2.929,0.593,-0.039000000000000146,-0.6320000000000001,0.1998,-0.01314,-0.17748
114+09881,131.353,91.746,151.569,-39.60700000000001,20.21599999999998,59.82299999999999,-0.30153,0.15391,0.65205
114+04196,0.291,0.35,0.295,0.059,0.0040000000000000036,-0.05499999999999999,0.20275,0.01375,-0.15714
114N10154,6.981,12.754,11.147,5.773,4.166,-1.6069999999999993,0.82696,0.59676,-0.126
114+51378,15.969,29.056,29.311,13.087000000000002,13.342,0.254999999999999,0.81953,0.83549,0.00878
114+51377,19.596,34.13,21.29,14.534000000000002,1.693999999999999,-12.840000000000003,0.74168,0.08645,-0.37621
114-11180,44.752,57.142,59.707,12.39,14.954999999999998,2.5649999999999977,0.27686,0.33418,0.04489
114+04192,4.44,6.974,5.379,2.534,0.9389999999999992,-1.5950000000000006,0.57072,0.21149,-0.22871
114+51379,10.219,11.298,15.335,1.0790000000000006,5.116000000000001,4.037000000000001,0.10559,0.50064,0.35732
114N11378,2.029,1.666,1.999,-0.363,-0.029999999999999805,0.3330000000000002,-0.17891,-0.01479,0.19988
114+10746,94.983,153.068,157.664,58.08500000000001,62.68099999999998,4.595999999999975,0.61153,0.65992,0.03003
114+10504,112.81,79.974,107.122,-32.836,-5.688000000000002,27.147999999999996,-0.29107,-0.05042,0.33946
114P04198,8.161,5.999,3.921,-2.162,-4.24,-2.078,-0.26492,-0.51954,-0.34639
114N10283,2.449,1.815,2.282,-0.6339999999999999,-0.16699999999999982,0.4670000000000001,-0.25888,-0.06819,0.2573
114P09880,5.179,5.233,3.858,0.05399999999999938,-1.3210000000000002,-1.3749999999999996,0.01043,-0.25507,-0.26276
114P09761,2.939,4.788,4.01,1.8490000000000002,1.0709999999999997,-0.7780000000000005,0.62913,0.36441,-0.16249
114P04197,2.936,3.351,2.561,0.41500000000000004,-0.375,-0.79,0.14135,-0.12772,-0.23575
114P04196,0.827,1.013,0.826,0.18599999999999994,-0.0010000000000000009,-0.18699999999999994,0.22491,-0.00121,-0.1846
114P04195,5.094,7.106,5.167,2.0119999999999996,0.07299999999999951,-1.939,0.39497,0.01433,-0.27287
114P04194,6.989,8.512,6.825,1.5230000000000006,-0.1639999999999997,-1.6870000000000003,0.21791,-0.02347,-0.19819
114P04193,37.232,45.464,23.558,8.232,-13.674,-21.906,0.2211,-0.36726,-0.48183
114+10992,73.031,59.554,67.931,-13.477000000000004,-5.1000000000000085,8.376999999999995,-0.18454,-0.06983,0.14066
114P04192,8.661,10.59,5.836,1.9290000000000003,-2.8249999999999993,-4.754,0.22272,-0.32617,-0.44891
114+11600,144.537,88.091,129.488,-56.44600000000001,-15.049000000000007,41.397000000000006,-0.39053,-0.10412,0.46993
114-04549,0.31,0.596,0.251,0.286,-0.059,-0.345,0.92258,-0.19032,-0.57886
114-04548,4.847,6.306,3.733,1.4589999999999996,-1.1140000000000003,-2.573,0.30101,-0.22983,-0.40802
114+08211,253.616,207.65,225.584,-45.96600000000001,-28.03200000000001,17.933999999999997,-0.18124,-0.11053,0.08637
114P08104,0.747,1.716,0.813,0.969,0.06599999999999995,-0.903,1.29719,0.08835,-0.52622
114P08345,1.69,2.052,2.526,0.3620000000000001,0.8359999999999999,0.47399999999999975,0.2142,0.49467,0.23099
114P08347,5.495,13.401,6.872,7.906,1.3769999999999998,-6.529,1.43876,0.25059,-0.4872
114-15717,28.939,31.783,26.921,2.844000000000001,-2.0180000000000007,-4.862000000000002,0.09828,-0.06973,-0.15297
114-10154,52.109,51.665,49.313,-0.4440000000000026,-2.7959999999999994,-2.3519999999999968,-0.00852,-0.05366,-0.04552
114P08100,2.723,1.93,2.378,-0.7929999999999999,-0.34499999999999975,0.4480000000000002,-0.29122,-0.1267,0.23212
114P08342,3.495,4.251,3.518,0.7560000000000002,0.022999999999999687,-0.7330000000000005,0.21631,0.00658,-0.17243
114-10153,31.794,53.996,28.897,22.202,-2.897000000000002,-25.099000000000004,0.69831,-0.09112,-0.46483
114-10272,161.182,59.808,102.637,-101.374,-58.54499999999999,42.829,-0.62894,-0.36322,0.71611
114+08345,9.944,10.041,12.662,0.09699999999999953,2.718,2.6210000000000004,0.00975,0.27333,0.26103
114+08344,12.061,11.578,12.655,-0.48300000000000054,0.5939999999999994,1.077,-0.04005,0.04925,0.09302
114+08347,2.719,4.952,2.467,2.233,-0.2519999999999998,-2.485,0.82126,-0.09268,-0.50182
114+08105,28.373,44.029,29.052,15.656000000000002,0.6789999999999985,-14.977000000000004,0.55179,0.02393,-0.34016
114+08346,3.555,5.95,4.562,2.395,1.0070000000000001,-1.388,0.6737,0.28326,-0.23328
114+08104,40.785,82.015,55.584,41.230000000000004,14.799000000000007,-26.430999999999997,1.01091,0.36285,-0.32227
114+08343,25.803,24.793,27.871,-1.0100000000000016,2.067999999999998,3.0779999999999994,-0.03914,0.08015,0.12415
114+08100,11.263,26.07,12.487,14.807,1.2240000000000002,-13.583,1.31466,0.10867,-0.52102
114+08228,62.194,79.271,71.91,17.076999999999998,9.715999999999994,-7.361000000000004,0.27458,0.15622,-0.09286
114+08227,105.667,99.495,73.751,-6.171999999999997,-31.915999999999997,-25.744,-0.05841,-0.30204,-0.25875
114-11377,108.181,122.93,144.176,14.74900000000001,35.99499999999999,21.24599999999998,0.13634,0.33273,0.17283
114-10167,73.064,92.267,74.13,19.203000000000003,1.0660000000000025,-18.137,0.26282,0.01459,-0.19657
114-10168,177.19,144.042,112.646,-33.147999999999996,-64.544,-31.396,-0.18708,-0.36426,-0.21796
114+10771,72.318,53.123,79.29,-19.195,6.972000000000008,26.16700000000001,-0.26542,0.09641,0.49257
114+10772,127.582,116.53,123.883,-11.051999999999992,-3.698999999999998,7.352999999999994,-0.08663,-0.02899,0.0631
114+10773,99.5,159.743,116.891,60.242999999999995,17.391000000000005,-42.85199999999999,0.60546,0.17478,-0.26826
114-10282,169.592,128.037,156.525,-41.55500000000001,-13.067000000000007,28.488,-0.24503,-0.07705,0.2225
114N08272,5.258,3.569,2.526,-1.689,-2.732,-1.0430000000000001,-0.32122,-0.51959,-0.29224
114+19251,5.161,6.382,4.172,1.221,-0.9889999999999999,-2.21,0.23658,-0.19163,-0.34629
114+10563,95.364,112.958,116.113,17.593999999999994,20.748999999999995,3.155000000000001,0.18449,0.21758,0.02793
114N14841,0.459,13.82,1.041,13.361,0.5819999999999999,-12.779,29.10893,1.26797,-0.92467
114-04633,8.04,8.565,9.398,0.5250000000000004,1.3580000000000005,0.8330000000000002,0.0653,0.16891,0.09726
114-04635,16.288,13.887,12.396,-2.401,-3.8919999999999995,-1.4909999999999997,-0.14741,-0.23895,-0.10737
114-04634,1.192,1.333,1.245,0.14100000000000001,0.05300000000000016,-0.08799999999999986,0.11829,0.04446,-0.06602
114-04631,9.053,12.637,14.787,3.5839999999999996,5.734,2.1500000000000004,0.39589,0.63338,0.17014
114-04630,19.505,15.946,21.206,-3.5589999999999993,1.7010000000000005,5.26,-0.18247,0.08721,0.32986
114-11159,207.281,209.191,182.122,1.9099999999999966,-25.158999999999992,-27.06899999999999,0.00921,-0.12138,-0.1294
114-04629,10.645,11.495,11.648,0.8499999999999996,1.0030000000000001,0.15300000000000047,0.07985,0.09422,0.01331
114P07974,1.34,2.267,1.844,0.9269999999999998,0.504,-0.4229999999999998,0.69179,0.37612,-0.18659
114-08025,49.645,45.389,28.001,-4.256,-21.644000000000002,-17.388,-0.08573,-0.43598,-0.38309
114P07976,19.501,18.163,8.762,-1.338000000000001,-10.739,-9.401,-0.06861,-0.55069,-0.51759
